Strategy,ImageType,Size,Pixels,Time_ms,PixValidations,StackOps,QueueOps,PeakStack,PeakQueue,PeakRecDepth
recursive,white,32x32,1024,0.118,4097,0,0,0,0,1009
stack,white,32x32,1024,0.080,4098,8194,0,1958,0,0
queue,white,32x32,1024,0.077,4098,0,8194,0,254,0
recursive,white,64x64,4096,0.456,16385,0,0,0,0,4065
stack,white,64x64,4096,0.420,16386,32770,0,8006,0,0
queue,white,64x64,4096,0.291,16386,0,32770,0,510,0
recursive,white,100x100,10000,1.288,40001,0,0,0,0,9951
stack,white,100x100,10000,0.869,40002,80002,0,19706,0,0
queue,white,100x100,10000,0.724,40002,0,80002,0,798,0
recursive,white,128x128,16384,1.395,65537,0,0,0,0,16321
stack,white,128x128,16384,1.432,65538,131074,0,32390,0,0
queue,white,128x128,16384,1.127,65538,0,131074,0,1022,0
recursive,white,150x150,22500,2.195,90001,0,0,0,0,22501
stack,white,150x150,22500,1.703,90002,180002,0,44630,0,0
queue,white,150x150,22500,1.551,90002,0,180002,0,1198,0
recursive,white,256x256,65536,7.452,262145,0,0,0,0,65409
stack,white,256x256,65536,5.129,262146,524290,0,130310,0,0
queue,white,256x256,65536,4.117,262146,0,524290,0,2046,0
recursive,white,64x128,8192,0.483,32769,0,0,0,0,8161
stack,white,64x128,8192,0.510,32770,65538,0,16195,0,0
queue,white,64x128,8192,0.547,32770,0,65538,0,517,0
recursive,white,80x160,12800,1.067,51201,0,0,0,0,12761
stack,white,80x160,12800,0.915,51202,102402,0,25363,0,0
queue,white,80x160,12800,0.934,51202,0,102402,0,645,0
recursive,white,96x192,18432,1.188,73729,0,0,0,0,18385
stack,white,96x192,18432,1.173,73730,147458,0,36579,0,0
queue,white,96x192,18432,1.183,73730,0,147458,0,773,0
recursive,white,128x256,32768,2.911,131073,0,0,0,0,32705
stack,white,128x256,32768,2.298,131074,262146,0,65155,0,0
queue,white,128x256,32768,2.323,131074,0,262146,0,1029,0
recursive,white,192x256,49152,3.723,196609,0,0,0,0,49057
stack,white,192x256,49152,3.400,196610,393218,0,97731,0,0
queue,white,192x256,49152,3.579,196610,0,393218,0,1541,0
recursive,white,256x512,131072,12.866,524289,0,0,0,0,130945
stack,white,256x512,131072,11.544,524290,1048578,0,261379,0,0
queue,white,256x512,131072,8.910,524290,0,1048578,0,2053,0
stack,maze,41x41,1681,0.064,3206,6410,0,638,0,0
stack,maze,41x41,1681,0.062,3206,6410,0,515,0,0
queue,maze,41x41,1681,0.073,3206,0,6410,0,37,0
queue,maze,41x41,1681,0.074,3206,0,6410,0,29,0
recursive,maze,41x41,1681,0.050,3205,0,0,0,0,387
recursive,maze,41x41,1681,0.046,3205,0,0,0,0,321
