test,type,imgA,imgB,width,height,pixels,result,time_sec,time_ctu,pixreads,pixwrites,lutreads,lutwrites,pixvalidations,stackops,queueops,peakstack,peakqueue,peakrecdepth
ImageIsEqual,self,chess32x32,chess32x32,32,32,1024,1,0.000001,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,deep_equal,chess32x32,copy,32,32,1024,1,0.000001,0.000001,2048,0,2048,0,1024,0,0,0,0,0
ImageIsEqual,rotated,chess32x32,rot180,32,32,1024,0,0.000000,0.000000,6,0,6,0,3,0,0,0,0,0
ImageIsEqual,size_diff,chess32x32,bigger,32,32,1024,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,self,palete32x32,palete32x32,32,32,1024,1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,deep_equal,palete32x32,copy,32,32,1024,1,0.000001,0.000001,2048,0,2048,0,1024,0,0,0,0,0
ImageIsEqual,rotated,palete32x32,rot180,32,32,1024,0,0.000000,0.000000,2,0,2,0,1,0,0,0,0,0
ImageIsEqual,size_diff,palete32x32,bigger,32,32,1024,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,self,chess64x64,chess64x64,64,64,4096,1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,deep_equal,chess64x64,copy,64,64,4096,1,0.000008,0.000005,8192,0,8192,0,4096,0,0,0,0,0
ImageIsEqual,rotated,chess64x64,rot180,64,64,4096,0,0.000000,0.000000,10,0,10,0,5,0,0,0,0,0
ImageIsEqual,size_diff,chess64x64,bigger,64,64,4096,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,self,palete64x64,palete64x64,64,64,4096,1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,deep_equal,palete64x64,copy,64,64,4096,1,0.000004,0.000002,8192,0,8192,0,4096,0,0,0,0,0
ImageIsEqual,rotated,palete64x64,rot180,64,64,4096,0,0.000000,0.000000,2,0,2,0,1,0,0,0,0,0
ImageIsEqual,size_diff,palete64x64,bigger,64,64,4096,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,self,chess100x100,chess100x100,100,100,10000,1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,deep_equal,chess100x100,copy,100,100,10000,1,0.000008,0.000005,20000,0,20000,0,10000,0,0,0,0,0
